SK_ID_BUREAU,MONTHS_BALANCE,STATUS
5896630,0,C
5896630,-1,C
5896630,-2,C
5896630,-3,C
5896630,-4,C
5896630,-5,C
5896630,-6,C
5896630,-7,C
5896630,-8,C
5896630,-9,C
5896630,-10,C
5896630,-11,C
5896630,-12,C
5896630,-13,C
5896630,-14,C
5896630,-15,C
5896630,-16,C
5896630,-17,C
5896630,-18,C
5896630,-19,0
5896630,-20,X
5896630,-21,X
5896630,-22,0
5896630,-23,0
5896630,-24,X
5896630,-25,X
5896630,-26,X
5896630,-27,X
5896630,-28,X
5896631,0,C
5896631,-1,C
5896631,-2,C
5896631,-3,C
5896631,-4,C
5896631,-5,C
5896631,-6,C
5896631,-7,C
5896631,-8,C
5896631,-9,C
5896631,-10,C
5896631,-11,C
5896631,-12,C
5896631,-13,C
5896631,-14,C
5896631,-15,C
5896631,-16,C
5896631,-17,C
5896631,-18,C
5896631,-19,C
5896631,-20,C
5896631,-21,C
5896631,-22,C
5896631,-23,C
5896631,-24,C
5896631,-25,C
5896631,-26,C
5896631,-27,C
5896631,-28,C
5896631,-29,0
5896632,0,C
5896632,-1,C
5896632,-2,C
5896632,-3,C
5896632,-4,C
5896632,-5,C
5896632,-6,C
5896632,-7,C
5896632,-8,C
5896632,-9,C
5896632,-10,C
5896632,-11,C
5896632,-12,C
5896632,-13,C
5896632,-14,C
5896632,-15,C
5896632,-16,C
5896632,-17,C
5896632,-18,X
5896632,-19,X
5896632,-20,X
5896632,-21,0
5896632,-22,X
5896632,-23,X
5896632,-24,X
5896632,-25,0
5896632,-26,X
5896632,-27,X
5896632,-28,X
5896633,0,C
5896633,-1,C
5896633,-2,C
5896633,-3,C
5896633,-4,C
5896633,-5,C
5896633,-6,C
5896633,-7,C
5896633,-8,C
5896633,-9,C
5896633,-10,C
5896633,-11,C
5896633,-12,C
5896633,-13,C
5896633,-14,C
5896633,-15,C
5896633,-16,C
5896633,-17,C
5896633,-18,C
5896633,-19,C
5896633,-20,C
5896633,-21,C
5896633,-22,C
5896633,-23,C
5896633,-24,C
5896633,-25,C
5896633,-26,C
5896633,-27,C
5896633,-28,C
5896633,-29,C
5896633,-30,C
5896633,-31,C
5896633,-32,C
5896633,-33,C
5896633,-34,C
5896633,-35,C
5896633,-36,C
5896633,-37,C
5896633,-38,C
5896633,-39,C
5896633,-40,C
5896633,-41,C
5896633,-42,C
5896633,-43,C
5896633,-44,X
5896633,-45,X
5896633,-46,0
5896633,-47,X
5896633,-48,X
5896633,-49,X
5896633,-50,X
5896633,-51,X
5896634,0,1
5896634,-1,0
5896634,-2,0
5896634,-3,0
5896634,-4,0
5896634,-5,0
5896634,-6,X
5896634,-7,0
5896634,-8,X
5896634,-9,X
5896634,-10,0
5896634,-11,0
5896634,-12,X
5896634,-13,0
5896634,-14,X
5896634,-15,0
5896634,-16,0
5896634,-17,X
5896634,-18,0
5896635,0,0
5896635,-1,X
5896636,0,0
5896636,-1,0
5896636,-2,0
5896636,-3,0
5896636,-4,0
5896636,-5,0
5896636,-6,0
5896636,-7,0
5896636,-8,0
5896636,-9,0
5896636,-10,0
